,symbol,open_alias,close,high,low,preclose,change,chg,volume,amplitude,mktcap,market,date,tag,ma20,dif,dea,macd,macdp,macdn
14,ADBE,,606.89,,,,,,,,,,,策略3,596.8179999999996,-13.765503775983348,-16.49687181628158,2.731368040298232,,
15,CRM,,289.54,,,,,,,,,,,策略3,273.06899999999996,5.584315583326941,4.577965548787605,1.0063500345393352,,
16,NKE,,157.03,,,,,,,,,,,策略3,151.5865000000001,-1.5430169150255892,-2.918859067279815,1.3758421522542257,,
17,KO,,54.74,,,,,,,,,,,策略3,53.746000000000016,-0.27584916840385887,-0.5095734192572496,0.23372425085339077,,
18,CSCO,,55.62,,,,,,,,,,,策略3,55.32100000000004,-0.5921854978418182,-0.6344727448229752,0.042287246981157045,,
19,PEP,,159.4,,,,,,,,,,,策略3,154.02550000000005,0.7346355950203929,-0.07970465638117596,0.8143402514015688,,
20,ACN,,337.79,,,,,,,,,,,策略3,329.4559999999999,-0.7761758259486555,-1.443010306584873,0.6668344806362174,,
21,RDS.B,,48.36,,,,,,,,,,,策略3,44.24099999999999,1.9570328771001897,1.6689496290840575,0.28808324801613217,,
22,RDS.A,,48.2,,,,,,,,,,,策略3,44.50300000000003,1.8004037240357462,1.555293603214459,0.24511012082128714,,
23,NVS,,82.56,,,,,,,,,,,策略3,82.55299999999997,-1.370191731674126,-1.7110334340988866,0.34084170242476075,,
24,SHOP,,1411.95,,,,,,,,,,,策略3,1394.487999999999,-25.6334404964864,-32.668305627039686,7.034865130553285,,
25,SAP,,144.83,,,,,,,,,,,策略3,138.55299999999994,-1.4785179582212038,-2.380928449726435,0.9024104915052313,,
26,VUG,,299.19,,,,,,,,,,,策略3,295.7450000000002,-1.7796605861504986,-2.1622742601645344,0.3826136740140358,,
27,UPS,,191.6,,,,,,,,,,,策略3,184.67449999999985,-1.9237719263226438,-2.886208570249355,0.9624366439267114,,
28,VO,,246.64,,,,,,,,,,,策略3,241.36150000000012,-0.18211422086054085,-0.7496196627457236,0.5675054418851827,,
29,NEE,,81.67,,,,,,,,,,,策略3,80.08350000000002,-0.6481223120847233,-0.8233875727468257,0.17526526066210246,,
30,LIN,,308.04,,,,,,,,,,,策略3,301.37650000000014,-2.222361941575798,-2.8597649853473053,0.6374030437715072,,
31,PM,,98.5,,,,,,,,,,,策略3,98.29850000000005,-1.347868266199015,-1.4004765345974148,0.05260826839839994,,
32,HON,,218.22,,,,,,,,,,,策略3,216.43349999999987,-1.881765346758442,-2.4101539521936237,0.5283886054351816,,
33,RY,,104.86,,,,,,,,,,,策略3,100.92199999999994,0.4721167419782262,-0.06195298591206158,0.5340697278902877,,
34,LOW,,215.89,,,,,,,,,,,策略3,207.51149999999998,2.028162333469453,1.3636586894644367,0.6645036440050163,,
35,SCHW,,78.24,,,,,,,,,,,策略3,74.58999999999997,1.3462942678594345,1.0755813500981928,0.27071291776124173,,
36,UNP,,220.96,,,,,,,,,,,策略3,206.42950000000005,1.7566488479515954,-0.47707213925789804,2.2337209872094936,,
37,BHP,,57.6,,,,,,,,,,,策略3,54.52850000000002,-1.5615130935374992,-2.4794872108408037,0.9179741173033045,,
38,HDB,,75.47,,,,,,,,,,,策略3,73.38599999999998,-0.230643197622328,-0.49123499904903145,0.26059180142670346,,
39,BBL,,55.07,,,,,,,,,,,策略3,53.41999999999998,-1.664769696440402,-2.243621382652961,0.578851686212559,,
40,AMD,,112.0,,,,,,,,,,,策略3,105.49150000000004,0.4340361643742341,-0.027611336811047937,0.461647501185282,,
41,EL,,320.29,,,,,,,,,,,策略3,316.7955,-4.217015186706874,-4.8380257576824715,0.6210105709755975,,
42,RIO,,71.03,,,,,,,,,,,策略3,67.41399999999996,-1.0700042906608758,-1.919330935374949,0.8493266447140733,,
43,VXF,,189.82,,,,,,,,,,,策略3,185.4540000000002,-0.1463475956491891,-0.6256553427248502,0.47930774707566115,,
44,SPGI,,439.8,,,,,,,,,,,策略3,435.03600000000006,-2.6871555735869492,-3.0981889975655448,0.41103342397859555,,
45,CAT,,194.34,,,,,,,,,,,策略3,194.305,-3.3288928106826745,-3.5302634830185573,0.2013706723358828,,
46,MMM,,179.34,,,,,,,,,,,策略3,178.69300000000015,-2.84240057912902,-3.3992928962576676,0.5568923171286477,,
47,LMT,,362.52,,,,,,,,,,,策略3,349.4605,1.9220733030098813,-0.28331325640345284,2.205386559413334,,
48,PLD,,135.46,,,,,,,,,,,策略3,128.73549999999997,0.31168106894162406,-0.6763740845617336,0.9880551535033577,,
49,SNOW,,333.51,,,,,,,,,,,策略3,311.71449999999993,5.06978124727118,3.384160021854004,1.6856212254171763,,
50,GSK,,38.84,,,,,,,,,,,策略3,38.584,-0.3346343732271251,-0.4622171701556262,0.1275827969285011,,
51,ZTS,,200.94,,,,,,,,,,,策略3,198.127,-1.1567512094469805,-1.588565572564153,0.4318143631171725,,
52,ANTM,,391.94,,,,,,,,,,,策略3,379.3605,1.5794962691477963,0.7520203459320389,0.8274759232157574,,
53,BAM,,57.86,,,,,,,,,,,策略3,55.101499999999945,0.42527433725034314,0.08438428633222136,0.34089005091812175,,
54,MO,,48.61,,,,,,,,,,,策略3,47.50700000000002,-0.3652578298546345,-0.5273923967070272,0.1621345668523927,,
55,EQNR,,27.45,,,,,,,,,,,策略3,25.384,1.1421100025342952,1.0916349488770467,0.05047505365724847,,
56,ADP,,208.35,,,,,,,,,,,策略3,202.00399999999996,0.6288612509752056,-0.2688055435082689,0.8976667944834745,,
57,ENB,,42.62,,,,,,,,,,,策略3,40.42749999999998,0.6312579969106764,0.397549792110875,0.23370820479980142,,
58,BX,,121.36,,,,,,,,,,,策略3,119.8335,-1.5701633603435141,-1.5985210704493957,0.028357710105881617,,
59,CNI,,121.5,,,,,,,,,,,策略3,116.8740000000001,1.0109996168338427,0.8784413762038386,0.1325582406300041,,
60,MDLZ,,60.67,,,,,,,,,,,策略3,59.65750000000005,-0.31232710376657735,-0.5514430739246095,0.2391159701580321,,
61,IEFA,,75.34,,,,,,,,,,,策略3,74.96049999999998,-0.5822314829660797,-0.6448756028303988,0.06264411986431906,,
62,BTI,,35.96,,,,,,,,,,,策略3,35.798500000000004,-0.491793550808417,-0.5365935948953998,0.04480004408698279,,
63,MMC,,160.78,,,,,,,,,,,策略3,156.04950000000002,0.6261528325964889,0.26127241086656733,0.3648804217299216,,
64,ZM,,270.05,,,,,,,,,,,策略3,266.43899999999996,-11.524903982285878,-14.574549475348164,3.049645493062286,,
65,CB,,184.24,,,,,,,,,,,策略3,178.1744999999999,0.7606705988029603,-0.13844765792567715,0.8991182567286374,,
66,DUK,,101.68,,,,,,,,,,,策略3,99.4979999999999,-0.4547752825830287,-0.8772735579459857,0.42249827536295703,,
67,VWO,,51.21,,,,,,,,,,,策略3,50.35800000000005,-0.14513042459704195,-0.3150102886365843,0.16987986403954236,,
68,BNS,,63.99,,,,,,,,,,,策略3,61.91200000000002,0.3058154735026193,0.03753879687198024,0.26827667663063903,,
69,SHW,,290.89,,,,,,,,,,,策略3,290.0834999999998,-1.6810233344371568,-2.1961111853727067,0.5150878509355499,,
70,CRWD,,273.71,,,,,,,,,,,策略3,252.90350000000012,0.3450321227515758,-2.4066411312942715,2.7516732540458473,,
71,APD,,287.24,,,,,,,,,,,策略3,263.13850000000014,2.146529883178175,-1.20715995871972,3.353689841897895,,
72,STLA,,19.68,,,,,,,,,,,策略3,19.5205,-0.1566473565999047,-0.20863766437417558,0.05199030777427088,,
73,TWLO,,359.94,,,,,,,,,,,策略3,332.51950000000005,-3.102142393364545,-7.165528718446126,4.063386325081581,,
74,ETN,,158.64,,,,,,,,,,,策略3,156.3884999999999,-2.2164371597339994,-2.3218347041291305,0.10539754439513116,,
75,D,,74.19,,,,,,,,,,,策略3,74.02699999999997,-0.9159627221570901,-0.9662279523777377,0.05026523022064766,,
76,DCUE,,98.5,,,,,,,,,,,策略3,98.18750000000004,-0.7048165195990066,-0.7679314292289454,0.06311490962993882,,
77,UBS,,17.14,,,,,,,,,,,策略3,16.19199999999999,0.1168299392678378,-0.012019402468524995,0.1288493417363628,,
78,RELX,,30.06,,,,,,,,,,,策略3,29.630000000000017,-0.11952533702390156,-0.16009170179791402,0.04056636477401246,,
79,ING,,14.82,,,,,,,,,,,策略3,14.262000000000011,0.27080507497842277,0.24860314989322826,0.0222019250851945,,
80,GD,,205.15,,,,,,,,,,,策略3,198.53849999999983,1.496020746589096,0.6276978793929979,0.8683228671960981,,
81,PSA,,323.04,,,,,,,,,,,策略3,310.29750000000024,-1.49432487859724,-3.1405884232526007,1.6462635446553606,,
82,MET,,65.39,,,,,,,,,,,策略3,62.35799999999993,1.0588145871069514,0.71141437814911,0.3474002089578414,,
83,HUM,,432.72,,,,,,,,,,,策略3,406.1609999999996,2.2843226650479664,-1.6256812438658486,3.910003908913815,,
84,RACE,,220.95,,,,,,,,,,,策略3,216.06700000000032,-0.4003764371922216,-0.7268287064552177,0.3264522692629961,,
85,VIG,,158.89,,,,,,,,,,,策略3,157.66400000000016,-0.8770228165578544,-0.9901566096444121,0.11313379308655769,,
86,FCX,,37.42,,,,,,,,,,,策略3,33.9665,0.16593557053197827,-0.34505694550340327,0.5109925160353815,,
87,EPD,,24.25,,,,,,,,,,,策略3,22.450499999999987,0.4116171828451449,0.12353964796422477,0.28807753488092014,,
88,CM,,117.83,,,,,,,,,,,策略3,115.04049999999995,0.2832804454252482,-0.14911599595987082,0.432396441385119,,
89,WIT,,9.75,,,,,,,,,,,策略3,9.304999999999994,0.03272491704458602,0.025852223450329365,0.006872693594256657,,
90,MRVL,,65.43,,,,,,,,,,,策略3,62.15100000000003,0.8063301627875248,0.46180437464325796,0.3445257881442668,,
91,COIN,,259.04,,,,,,,,,,,策略3,240.56800000000004,1.4227267602752534,-1.3337993220056683,2.7565260822809217,,
92,NET,,163.3,,,,,,,,,,,策略3,131.82850000000002,7.724359769091052,3.4774201949775536,4.246939574113498,,
93,KDP,,36.02,,,,,,,,,,,策略3,34.829499999999975,0.14799330018090018,-0.033877189942243126,0.1818704901231433,,
94,FTNT,,311.5,,,,,,,,,,,策略3,301.5835000000001,2.059218320715331,0.7447521960547603,1.314466124660571,,
95,TRP,,52.39,,,,,,,,,,,策略3,49.498499999999964,0.7788324708104213,0.46250700659218275,0.31632546421823854,,
96,IWD,,161.64,,,,,,,,,,,策略3,159.62400000000002,-0.2744742038057666,-0.4554199026371899,0.1809456988314233,,
97,BK,,56.38,,,,,,,,,,,策略3,52.688,0.8049101312263289,0.286353317600194,0.5185568136261349,,
98,INFO,,121.81,,,,,,,,,,,策略3,119.76799999999999,-0.18153956865906196,-0.33646768154374507,0.1549281128846831,,
99,CNQ,,41.62,,,,,,,,,,,策略3,36.441500000000005,1.8585819900309914,1.3094276199194312,0.5491543701115602,,
100,LHX,,237.12,,,,,,,,,,,策略3,225.76499999999987,1.9035199600530177,-0.028157280916106087,1.9316772409691239,,
101,VRTX,,182.75,,,,,,,,,,,策略3,181.95449999999977,-2.787229919412482,-3.448167354490231,0.660937435077749,,
102,SPOT,,247.57,,,,,,,,,,,策略3,233.1715,1.2355531372922997,-0.528142371740261,1.7636955090325608,,
103,CP,,71.44,,,,,,,,,,,策略3,67.21100000000007,-0.09413806673204306,-0.846828457158043,0.752690390426,,
104,TEL,,146.04,,,,,,,,,,,策略3,143.23450000000003,-0.7281693072932001,-1.0337324739212999,0.3055631666280998,,
105,BCE,,51.59,,,,,,,,,,,策略3,50.965500000000034,-0.11441950699275338,-0.15223250522368187,0.037812998230928485,,
106,SCCO,,62.52,,,,,,,,,,,策略3,57.870000000000026,-0.21656585898127645,-0.8925001904713591,0.6759343314900826,,
107,LYG,,2.62,,,,,,,,,,,策略3,2.463,0.050597335300207824,0.03036805551164092,0.020229279788566906,,
108,VEEV,,307.45,,,,,,,,,,,策略3,291.1245,-3.8040319458241925,-6.666859956451805,2.862828010627613,,
109,SLB,,33.33,,,,,,,,,,,策略3,30.239500000000003,1.1748095044211766,0.8550155318452768,0.3197939725758998,,
110,SPG,,139.03,,,,,,,,,,,策略3,133.32249999999993,1.0875703033016464,0.565952329074982,0.5216179742266643,,
111,NEM,,57.65,,,,,,,,,,,策略3,54.54349999999998,-0.2804711920103813,-0.7681405621410886,0.4876693701307073,,
112,KHC,,37.26,,,,,,,,,,,策略3,36.741999999999976,0.06690320170145014,0.01736135570307809,0.04954184599837205,,
113,KMB,,133.42,,,,,,,,,,,策略3,133.23700000000002,-0.8878366753886837,-0.9925231103974497,0.10468643500876595,,
114,APTV,,166.71,,,,,,,,,,,策略3,155.07249999999993,3.359800143735754,1.8607240921920476,1.4990760515437063,,
115,CDNS,,157.25,,,,,,,,,,,策略3,155.16799999999992,-1.839185443087274,-1.8723478979952808,0.03316245490800673,,
116,DOW,,58.42,,,,,,,,,,,策略3,57.869000000000014,-0.6366807047099243,-0.7526338440346707,0.11595313932474638,,
117,ORLY,,623.18,,,,,,,,,,,策略3,612.0915000000001,3.3193870756009574,3.2003684526567993,0.1190186229441581,,
118,CTAS,,414.39,,,,,,,,,,,策略3,396.19600000000014,3.3132784293635495,1.2639332389559252,2.0493451904076245,,
119,AEP,,84.08,,,,,,,,,,,策略3,82.82300000000001,-0.8848096681734745,-1.2219537839410066,0.3371441157675321,,
120,MPC,,66.37,,,,,,,,,,,策略3,62.495000000000026,1.7745667594532932,1.5378836008325671,0.2366831586207261,,
121,STZ,,221.73,,,,,,,,,,,策略3,214.2380000000002,1.3928255382091663,0.30683094243591535,1.085994595773251,,
122,DLR,,148.19,,,,,,,,,,,策略3,148.05399999999992,-3.645935471771253,-3.872447000347569,0.22651152857631596,,
123,WBA,,50.91,,,,,,,,,,,策略3,47.94049999999992,-0.16883272224111323,-0.3970097746489879,0.22817705240787467,,
124,MSI,,245.16,,,,,,,,,,,策略3,236.73150000000004,0.603278057065836,-0.25902508815951086,0.8623031452253469,,
125,KMI,,18.38,,,,,,,,,,,策略3,16.90649999999999,0.40032164917554525,0.22366362993806335,0.1766580192374819,,
126,SRE,,127.82,,,,,,,,,,,策略3,127.48500000000004,-1.6172445251368543,-1.7349844916209443,0.11773996648408991,,
127,ERIC,,12.15,,,,,,,,,,,策略3,11.450500000000002,0.09786888844014463,-0.013358698355429167,0.11122758679557379,,
128,IAU,,34.19,,,,,,,,,,,策略3,33.4885,-0.014304702241751954,-0.11586402249679287,0.10155932025504091,,
129,RSG,,127.97,,,,,,,,,,,策略3,123.68549999999996,1.0452695677478374,0.5414556218071677,0.5038139459406697,,
130,XLNX,,165.82,,,,,,,,,,,策略3,154.51400000000004,2.1873542531488113,1.1886830995870707,0.9986711535617405,,
131,CTSH,,77.63,,,,,,,,,,,策略3,75.64549999999994,0.03182694169179001,-0.0826417250191471,0.11446866671093711,,
132,ZS,,292.94,,,,,,,,,,,策略3,270.37149999999986,3.862467477696498,1.5710236279414551,2.291443849755043,,
133,AFRM,,146.6,,,,,,,,,,,策略3,124.18849999999998,12.175796422551656,10.707354181639694,1.468442240911962,,
134,TRV,,157.31,,,,,,,,,,,策略3,154.93299999999988,0.0747280607991172,-0.32973376267516274,0.40446182347427995,,
135,U,,140.96,,,,,,,,,,,策略3,132.988,2.6828315193772596,1.9564033850658522,0.7264281343114074,,
136,KKR,,66.3,,,,,,,,,,,策略3,63.13850000000002,0.5525623820891923,0.012822606190264402,0.5397397758989279,,
137,MFC,,20.19,,,,,,,,,,,策略3,19.413999999999994,0.11181732463563421,0.0328598083710582,0.078957516264576,,
138,GIS,,62.39,,,,,,,,,,,策略3,60.666,0.8335967946148983,0.70436259269041,0.1292342019244883,,
139,HSY,,181.81,,,,,,,,,,,策略3,174.61999999999978,1.274973712011274,0.16002032294328206,1.114953389067992,,
140,HUBS,,788.31,,,,,,,,,,,策略3,700.1210000000001,18.912791051876297,7.897345712988214,11.015445338888084,,
141,PH,,294.44,,,,,,,,,,,策略3,288.56149999999974,-0.6338133609700094,-1.0474342167925523,0.41362085582254293,,
142,IFF,,148.43,,,,,,,,,,,策略3,137.30450000000002,-0.1080062182203676,-1.811624465232482,1.7036182470121144,,
143,PPG,,157.88,,,,,,,,,,,策略3,148.09199999999996,-0.04599485793352187,-1.8423059741497145,1.7963111162161927,,
144,YUM,,125.16,,,,,,,,,,,策略3,124.15900000000002,-1.268564496746606,-1.4982640590130107,0.22969956226640464,,
145,DD,,71.77,,,,,,,,,,,策略3,69.39049999999996,-0.29672785606518914,-0.6472377704542132,0.350509914389024,,
146,FRC,,209.11,,,,,,,,,,,策略3,198.75999999999993,1.9888513031600894,0.948430353838839,1.0404209493212504,,
147,AFL,,55.15,,,,,,,,,,,策略3,53.253000000000085,-0.007306422483992492,-0.30994101582938915,0.30263459334539666,,
148,CNC,,63.45,,,,,,,,,,,策略3,63.21749999999996,-0.19909157898878505,-0.2885902263196776,0.08949864733089258,,
149,AZO,,1714.96,,,,,,,,,,,策略3,1671.4285000000004,22.38355947466107,22.09932379976241,0.2842356748986603,,
150,CSGP,,91.68,,,,,,,,,,,策略3,87.61849999999941,-1.6266746544832955,-2.9230518674058255,1.29637721292253,,
151,WELL,,84.43,,,,,,,,,,,策略3,83.86699999999999,-0.6068632056644958,-0.6937514606843612,0.08688825501986541,,
152,WMB,,29.41,,,,,,,,,,,策略3,26.76849999999997,1.0388237121856498,0.7603837209233875,0.2784399912622624,,
153,ROK,,307.5,,,,,,,,,,,策略3,300.41849999999994,-2.4354255371518434,-3.454904346166796,1.0194788090149527,,
154,XEL,,65.73,,,,,,,,,,,策略3,63.326500000000046,-0.6244716696542696,-1.0282776706170782,0.4038060009628086,,
155,GOLD,,19.62,,,,,,,,,,,策略3,18.38099999999999,-0.08512044717294742,-0.30237375201173505,0.21725330483878763,,
156,EPAM,,610.24,,,,,,,,,,,策略3,593.2710000000002,-4.905646687480385,-7.062816414770022,2.157169727289637,,
157,VRSK,,210.62,,,,,,,,,,,策略3,204.4349999999999,2.109670086411313,1.6655467968768372,0.444123289534476,,
158,ITOT,,101.53,,,,,,,,,,,策略3,100.13650000000001,-0.368043320074122,-0.5261615758141391,0.15811825574001714,,
159,WCN,,130.71,,,,,,,,,,,策略3,127.97800000000002,0.024212503956277942,-0.246574673349999,0.27078717730627694,,
160,CMI,,236.21,,,,,,,,,,,策略3,229.43650000000017,0.4510034222411434,-0.30201274019382945,0.7530161624349729,,
161,PINS,,53.07,,,,,,,,,,,策略3,52.23200000000005,-1.0938617962622033,-1.410607373564651,0.3167455773024477,,
162,EEM,,51.3,,,,,,,,,,,策略3,50.56100000000001,-0.20185664075923881,-0.35145919206390025,0.14960255130466144,,
163,CPRT,,144.22,,,,,,,,,,,策略3,141.38400000000001,-0.8193602924272056,-0.9586973148844151,0.13933702245720947,,
164,NDAQ,,200.42,,,,,,,,,,,策略3,194.89599999999987,1.3906604904773872,0.9406464990987443,0.45001399137864284,,
165,CBRE,,100.78,,,,,,,,,,,策略3,97.58349999999993,0.8231111119424526,0.7865951207570061,0.03651599118544646,,
166,NOK,,5.95,,,,,,,,,,,策略3,5.605499999999996,0.025777291332747865,-0.029923033152731857,0.05570032448547972,,
167,BF.B,,69.21,,,,,,,,,,,策略3,68.11149999999998,-0.4367226508914257,-0.6594931174299684,0.2227704665385427,,
168,AJG,,161.58,,,,,,,,,,,策略3,152.73499999999996,3.2943105577631115,2.6101450074756167,0.6841655502874948,,
169,APP,,90.06,,,,,,,,,,,策略3,78.253,4.248230645352194,2.8842022781921797,1.3640283671600146,,
170,STT,,91.86,,,,,,,,,,,策略3,87.21799999999995,0.8636833321524335,0.2763359798691647,0.5873473522832688,,
171,AMLP,,36.18,,,,,,,,,,,策略3,33.86399999999998,0.753894962230504,0.4998503501734037,0.2540446120571003,,
172,LYB,,98.19,,,,,,,,,,,策略3,95.0145,0.36589316290941554,-0.09588476739185593,0.46177793030127146,,
173,AVB,,231.23,,,,,,,,,,,策略3,224.305,0.8006760605355794,0.0732741353141996,0.7274019252213798,,
174,AMP,,284.24,,,,,,,,,,,策略3,270.8549999999999,3.5429572426209575,2.2648396779702384,1.278117564650719,,
175,WLTW,,247.86,,,,,,,,,,,策略3,236.82650000000012,4.654112657260072,4.11374957956072,0.540363077699352,,
176,GLW,,37.6,,,,,,,,,,,策略3,37.290499999999966,-0.5625865118484015,-0.6731934853063463,0.11060697345794479,,
177,EQR,,84.89,,,,,,,,,,,策略3,82.12349999999995,0.4392915311794212,0.10821056339421982,0.3310809677852014,,
178,RKT,,16.04,,,,,,,,,,,策略3,16.03750000000001,-0.420632660608268,-0.4577987545649296,0.037166093956661594,,
179,FERG,,143.03,,,,,,,,,,,策略3,141.85200000000015,-0.5931960611874558,-0.6390533279449347,0.04585726675747892,,
180,PAYC,,524.32,,,,,,,,,,,策略3,502.52649999999994,9.885051516239685,9.320349584779978,0.564701931459707,,
181,CTVA,,43.42,,,,,,,,,,,策略3,42.526,-0.14715461619461934,-0.19899206998149774,0.0518374537868784,,
182,BF.A,,65.28,,,,,,,,,,,策略3,64.36550000000003,-0.30920740240119926,-0.5306608890010165,0.22145348659981723,,
183,MPLX,,30.79,,,,,,,,,,,策略3,29.163000000000004,0.505599325532188,0.341986806867717,0.16361251866447102,,
184,FAST,,55.15,,,,,,,,,,,策略3,52.898500000000034,-0.09313000196548415,-0.4144689396767427,0.32133893771125854,,
185,MCK,,203.94,,,,,,,,,,,策略3,201.5459999999999,-0.49267000361206215,-0.5527759758980463,0.06010597228598413,,
