,symbol,open_alias,close,high,low,change,chg,volume,mktcap
1741,vrm,21.2900,20.5600,21.7200,20.5300,-3.47,-0.7400,912831,2810852114
1742,fbp,13.7400,13.4800,13.8599,13.4800,-1.53,-0.2100,726557,2810592994
1743,nvmi,96.3100,99.4300,100.7200,96.2500,2.30,2.2400,67716,2809894683
1744,vc,102.2900,100.3200,104.9300,99.6600,-2.13,-2.1800,418776,2807386982
1745,mlhr,37.3900,37.0100,37.8500,36.9800,-0.91,-0.3400,487226,2804381602
1746,csq,18.0300,17.9000,18.2099,17.8957,-0.56,-0.1000,134842,2802900444
1747,olk,24.3000,23.5000,24.6500,23.0500,-3.89,-0.9500,207468,2796666004
1748,acad,16.9400,17.4000,17.5900,16.8250,2.78,0.4700,629297,2795193002
1749,ktb,48.1500,48.4700,49.1700,48.1100,0.54,0.2600,380301,2794973013
1750,pipr,155.5400,154.7600,158.0100,154.7600,-0.26,-0.4100,37311,2792291037
1751,unit,12.1200,11.8200,12.1300,11.8000,-2.23,-0.2700,1195369,2790458543
1752,form,35.3200,35.8700,36.3200,35.3200,0.67,0.2400,134570,2786200815
1753,hlio,88.1300,85.9900,88.7700,85.8900,-2.67,-2.3600,119336,2785229342
1754,save,25.8300,25.6800,26.2650,25.5400,-1.31,-0.3400,2255436,2783759995
1755,eaf,10.5250,10.3900,10.8500,10.3450,-1.05,-0.1100,1762689,2783281013
1756,ufs,55.2900,55.2000,55.3000,55.1300,0.00,0.0000,247042,2779810010
1757,ktos,22.2600,22.4100,22.7199,22.2101,0.81,0.1800,536438,2777888381
1758,ebs,52.4000,51.5800,53.9800,51.5500,-1.68,-0.8800,226248,2769883601
1759,lilm,10.3900,9.7400,10.4700,9.6200,-4.51,-0.4600,593686,2767232003
1760,payo,8.2600,8.1500,8.3600,8.1400,-1.21,-0.1000,442533,2759866879
1761,tda,25.1700,25.1800,25.1800,25.1600,0.08,0.0200,5976,2756107770
1762,boot,94.8100,93.3100,95.8500,93.3100,-1.95,-1.8600,228658,2755493847
1763,mrcy,48.8200,48.3500,48.8200,48.3000,-0.76,-0.3700,237544,2751614117
1764,gsy,50.4400,50.4500,50.4500,50.4400,0.00,0.0000,279573,2744970979
1765,iyh,275.0800,273.0900,276.1650,272.9800,-0.74,-2.0400,13780,2742582790
1766,ifs,23.5400,23.7600,24.2300,23.2900,1.76,0.4100,14571,2742335006
1767,sub,107.4800,107.4600,107.4800,107.4400,0.00,0.0000,121682,2741415283
